Name,Category,Location
The Stillery,New American,Nashville
Puckett's Restaurant - Nashville,American,Nashville
Sixty Vines,New American,Nashville
The Twelve Thirty Club,Cocktail Bars,Nashville
5th & Taylor,New American,Nashville
etch,New American,Nashville
Hattie B’s Hot Chicken - Nashville - Midtown,Chicken Wings,Nashville
The Hampton Social - Nashville,New American,Nashville
Peg Leg Porker,Barbeque,Nashville
Bourbon Steak by Michael Mina,Steakhouses,Nashville
Rolf and Daughters,New American,Nashville
Skull's Rainbow Room,Cocktail Bars,Nashville
Husk,Southern,Nashville
The Optimist - Nashville,Seafood,Nashville
Acme Feed & Seed,Bars,Nashville
Jeff Ruby's Steakhouse- Nashville,Seafood,Nashville
Hawkers Asian Street Food,Tapas/Small Plates,Nashville
Milk and Honey Nashville,New American,Nashville
Pinewood Social,Social Clubs,Nashville
Blanco Cocina + Cantina,Cocktail Bars,Nashville
Martin's Bar-B-Que Joint,Barbeque,Nashville
Henrietta Red,New American,Nashville
Adele's - Nashville,New American,Nashville
The Southern Steak & Oyster,Southern,Nashville
The Mockingbird Nashville,New American,Nashville
Oak Steakhouse,Steakhouses,Nashville
Bakersfield Nashville,Tacos,Nashville
Barcelona Wine Bar,Tapas Bars,Nashville
The Farm House,Southern,Nashville
The Row,Southern,Nashville
The Catbird Seat,New American,Nashville
Hattie B’s Hot Chicken - Nashville - Lower Broadway,Chicken Shop,Nashville
Deacon's New South,Steakhouses,Nashville
The Chef and I,Tapas Bars,Nashville
Kayne Prime,Steakhouses,Nashville
Germantown Cafe,New American,Nashville
Butchertown Hall,Gastropubs,Nashville
Eddie V's Prime Seafood,Seafood,Nashville
Sedona Taphouse,New American,Nashville
O-Ku,Sushi Bars,Nashville
Ellington's Restaurant,Cocktail Bars,Nashville
Sambuca,Bars,Nashville
Trattoria Il Mulino,Italian,Nashville
Stock & Barrel,Burgers,Nashville
Stateside Kitchen,New American,Nashville
Butcher & Bee,New American,Nashville
Superica,Tex-Mex,Nashville
Bastion,Cocktail Bars,Nashville
DeSano Pizza Bakery,Pizza,Nashville
Black Rabbit,Tapas/Small Plates,Nashville
Milo Cafe,Cafes,Portland
El Azteca Mexican Restaurant,Mexican,Portland
Tacos Mi Jalisco,Mexican,Portland
Portland Pizza & Pub,Pizza,Portland
Senor Fajitas,Mexican,Portland
The Barbecue Pit,Barbeque,Portland
5 Chefs,New American,Portland
My Time Cafe,Cafes,Portland
Bento Japanese Express,Sushi Bars,Portland
Colorado Grill,Steakhouses,Portland
Mr Wok,Chinese,Portland
Milli’s Taqueria,Mexican,Portland
International Tea and Coffee,Coffee & Tea,Portland
Cousins Maine Lobster - Nashville,Food Trucks,Portland
Pizza Hut,Pizza,Portland
Arby's,Fast Food,Portland
Neon Kitchen,Italian,Portland
Little Caesars,Pizza,Portland
Burger King,Fast Food,Portland
Sonic Drive-In,Burgers,Portland
Sol Azteca Franklin,Mexican,Portland
McDonald's,Fast Food,Portland
Brewster's Bar & Grille,New American,Portland
Delaney's Street Eats,Food Trucks,Portland
Johnson's Crossroads Cafe & Market,Restaurants,Portland
Subway,Sandwiches,Portland
Franklin Steakhouse,Steakhouses,Portland
Sol Azteca,Mexican,Portland
Hardee's,Fast Food,Portland
Domino's Pizza,Pizza,Portland
Pupuseria Josellin,Mexican,Portland
Waffle House - Franklin,Diners,Portland
Vansauwa's Tacos,Food Trucks,Portland
Cracker Barrel Old Country Store,Breakfast & Brunch,Portland
Dairy Queen Grill & Chill,Fast Food,Portland
Denny's,Diners,Portland
Papa Johns Pizza,Pizza,Portland
Jims Barbeque,Barbeque,Portland
Quiznos,Sandwiches,Portland
Cantrell’s Grill,Food Trucks,Portland
GRAY'S On Main,Bars,Franklin
Red Pony,American,Franklin
Cork & Cow,Steakhouses,Franklin
55 South - Franklin,Southern,Franklin
