Name,Rating,Pricing,Number of Reviews,Location
The Stillery,4.4,,3425,Nashville
Puckett's Restaurant - Nashville,3.9,,3291,Nashville
Sixty Vines,4.5,,945,Nashville
The Twelve Thirty Club,4.3,,790,Nashville
5th & Taylor,4.4,,1388,Nashville
etch,4.5,,1700,Nashville
Hattie B’s Hot Chicken - Nashville - Midtown,4.4,,7283,Nashville
The Hampton Social - Nashville,4.3,,1472,Nashville
Peg Leg Porker,4.3,,3493,Nashville
Bourbon Steak by Michael Mina,4.5,,765,Nashville
Rolf and Daughters,4.3,,1019,Nashville
Skull's Rainbow Room,4.5,,1332,Nashville
Husk,4.0,,1815,Nashville
The Optimist - Nashville,4.5,,390,Nashville
Acme Feed & Seed,3.9,,1946,Nashville
Jeff Ruby's Steakhouse- Nashville,4.5,,652,Nashville
Hawkers Asian Street Food,4.4,,1066,Nashville
Milk and Honey Nashville,4.2,,2723,Nashville
Pinewood Social,4.1,,2215,Nashville
Blanco Cocina + Cantina,4.5,,334,Nashville
Martin's Bar-B-Que Joint,4.1,,3018,Nashville
Henrietta Red,4.3,,546,Nashville
Adele's - Nashville,4.0,,1179,Nashville
The Southern Steak & Oyster,4.1,,2543,Nashville
The Mockingbird Nashville,4.2,,690,Nashville
Oak Steakhouse,4.4,,432,Nashville
Bakersfield Nashville,4.5,,1428,Nashville
Barcelona Wine Bar,4.5,,753,Nashville
The Farm House,4.1,,938,Nashville
The Row,3.9,,1746,Nashville
The Catbird Seat,4.6,,472,Nashville
Hattie B’s Hot Chicken - Nashville - Lower Broadway,4.4,,815,Nashville
Deacon's New South,4.1,,343,Nashville
The Chef and I,4.4,,599,Nashville
Kayne Prime,4.2,,1230,Nashville
Germantown Cafe,4.1,,802,Nashville
Butchertown Hall,3.8,,920,Nashville
Eddie V's Prime Seafood,4.5,,333,Nashville
Sedona Taphouse,4.4,,468,Nashville
O-Ku,4.4,,391,Nashville
Ellington's Restaurant,3.9,,146,Nashville
Sambuca,3.8,,801,Nashville
Trattoria Il Mulino,3.9,,454,Nashville
Stock & Barrel,4.5,,309,Nashville
Stateside Kitchen,4.1,,323,Nashville
Butcher & Bee,4.1,,1111,Nashville
Superica,4.4,,300,Nashville
Bastion,4.5,,252,Nashville
DeSano Pizza Bakery,4.3,,1157,Nashville
Black Rabbit,4.1,,245,Nashville
Milo Cafe,4.7,,29,Portland
El Azteca Mexican Restaurant,3.4,,21,Portland
Tacos Mi Jalisco,4.8,,17,Portland
Portland Pizza & Pub,4.4,,27,Portland
Senor Fajitas,4.0,,42,Portland
The Barbecue Pit,4.2,,24,Portland
5 Chefs,3.7,,44,Portland
My Time Cafe,3.2,,9,Portland
Bento Japanese Express,3.8,,30,Portland
Colorado Grill,4.1,,45,Portland
Mr Wok,3.2,,32,Portland
Milli’s Taqueria,5.0,,6,Portland
International Tea and Coffee,4.5,,2,Portland
Cousins Maine Lobster - Nashville,3.7,,190,Portland
Pizza Hut,2.7,,19,Portland
Arby's,2.9,,8,Portland
Neon Kitchen,3.1,,8,Portland
Little Caesars,1.8,,10,Portland
Burger King,3.4,,7,Portland
Sonic Drive-In,1.8,,12,Portland
Sol Azteca Franklin,3.9,,39,Portland
McDonald's,1.4,,23,Portland
Brewster's Bar & Grille,3.1,,22,Portland
Delaney's Street Eats,4.5,,2,Portland
Johnson's Crossroads Cafe & Market,4.4,,18,Portland
Subway,2.2,,5,Portland
Franklin Steakhouse,3.7,,24,Portland
Sol Azteca,3.8,,17,Portland
Hardee's,3.2,,5,Portland
Domino's Pizza,2.3,,11,Portland
Pupuseria Josellin,5.0,,1,Portland
Waffle House - Franklin,3.6,,20,Portland
Vansauwa's Tacos,4.8,,5,Portland
Cracker Barrel Old Country Store,2.8,,54,Portland
Dairy Queen Grill & Chill,2.2,,5,Portland
Denny's,2.4,,35,Portland
Papa Johns Pizza,2.2,,6,Portland
Jims Barbeque,5.0,,1,Portland
Quiznos,1.2,,6,Portland
Cantrell’s Grill,1.0,,1,Portland
GRAY'S On Main,3.7,,683,Franklin
Red Pony,4.4,,552,Franklin
Cork & Cow,4.3,,323,Franklin
55 South - Franklin,4.2,,760,Franklin
Puckett's Grocery & Restaurant,4.2,,1119,Franklin
O' Be Joyful,4.1,,119,Franklin
JJ's Wine Bar,4.0,,154,Franklin
