Name,Category
GRAY'S On Main,Bars
Red Pony,American
Cork & Cow,Steakhouses
55 South - Franklin,Southern
O' Be Joyful,Burgers
Puckett's Grocery & Restaurant,Barbeque
JJ's Wine Bar,Wine Bars
Culaccino,Italian
McCreary's Irish Pub and Eatery,Irish Pub
Serrato's Steakhouse,Steakhouses
Franklin Chop House,New American
Pueblo Real Mexican Restaurant - Franklin,Bars
Frothy Monkey,Coffee & Tea
Mojo's Tacos,Tacos
Ground Restaurant,Burgers
Mellow Mushroom Franklin,Pizza
Quinn's Neighbourhood Pub and Eatery,Pizza
Chrysalis,Italian
1799 Kitchen & Cocktails,New American
BrickTop's,New American
Pasta and Cream,Italian
The White Alligator,Seafood
Hop House Tennessee Taps,Beer Bar
Biscuit Love - Franklin,Breakfast & Brunch
Brixx Wood Fired Pizza + Craft Bar,Pizza
Ruby Sunshine,Breakfast & Brunch
Sal's Family Pizza,Pizza
North Italia- Franklin,Italian
Tupelo Honey Southern Kitchen & Bar,Southern
Merridee's Breadbasket,Bakeries
Koi Sushi & Thai,Asian Fusion
Zolo's Italian Restaurant,Italian
Hogwood BBQ,Barbeque
Sperry's Restaurant,Steakhouses
Ground Restaurant - Cool Springs,American
J. Alexander's,New American
Stoney River,Steakhouses
Garcia's,Mexican
Hattie B's Hot Chicken - Franklin,Chicken Shop
The Bunganut Pig Bar & Restaurant,Pubs
Franklin Mercantile Deli,Delis
Pita Way - Cool Springs,Mediterranean
Connors Steak & Seafood,Seafood
Gina's Stonefired Italian & Pizzeria,Pizza
Sakura Japanese Restaurant,Japanese
Big Shake's Hot Chicken & Fish,Chicken Shop
Wild Ginger Restaurant,Asian Fusion
Mi Kitchen,Tapas Bars
Taziki's Mediterranean Cafe - Franklin,Mediterranean
Ice Point Cafe,Bubble Tea
