Name,Category,Location
The Stillery,New American,Nashville
Sixty Vines,New American,Nashville
Puckett's Restaurant - Nashville,American,Nashville
etch,New American,Nashville
Hattie B’s Hot Chicken - Nashville - Midtown,Chicken Wings,Nashville
5th & Taylor,New American,Nashville
Bourbon Steak by Michael Mina,Steakhouses,Nashville
Skull's Rainbow Room,Cocktail Bars,Nashville
The Hampton Social - Nashville,New American,Nashville
Rolf and Daughters,New American,Nashville
Peg Leg Porker,Barbeque,Nashville
Milk and Honey Nashville,New American,Nashville
Husk,Southern,Nashville
The Southern Steak & Oyster,Southern,Nashville
The Optimist - Nashville,Seafood,Nashville
Jeff Ruby's Steakhouse- Nashville,Seafood,Nashville
Hawkers Asian Street Food,Tapas/Small Plates,Nashville
Martin's Bar-B-Que Joint,Barbeque,Nashville
Pinewood Social,Social Clubs,Nashville
Acme Feed & Seed,Bars,Nashville
Adele's - Nashville,New American,Nashville
Henrietta Red,New American,Nashville
Blanco Cocina + Cantina,Cocktail Bars,Nashville
Oak Steakhouse,Steakhouses,Nashville
Barcelona Wine Bar,Tapas Bars,Nashville
The Farm House,Southern,Nashville
The Row,Southern,Nashville
The Mockingbird Nashville,New American,Nashville
The Catbird Seat,New American,Nashville
Bakersfield Nashville,Tacos,Nashville
Kayne Prime,Steakhouses,Nashville
The Standard At The Smith House,American,Nashville
Deacon's New South,Steakhouses,Nashville
Butchertown Hall,Gastropubs,Nashville
The Chef and I,Tapas Bars,Nashville
Germantown Cafe,New American,Nashville
House of Cards,American,Nashville
Hattie B’s Hot Chicken - Nashville - Lower Broadway,Chicken Shop,Nashville
DeSano Pizza Bakery,Pizza,Nashville
Eddie V's Prime Seafood,Seafood,Nashville
Bastion,Cocktail Bars,Nashville
Frothy Monkey,Coffee & Tea,Nashville
Butcher & Bee,New American,Nashville
The Pharmacy,Burgers,Nashville
Sambuca,Bars,Nashville
Biscuit Love: Gulch,Southern,Nashville
El Azteca Mexican Restaurant,Mexican,Portland
Senor Fajitas,Mexican,Portland
5 Chefs,New American,Portland
The Barbecue Pit,Barbeque,Portland
My Time Cafe,Cafes,Portland
Bento Japanese Express,Sushi Bars,Portland
Mr Wok,Chinese,Portland
Cousins Maine Lobster - Nashville,Food Trucks,Portland
Pizza Hut,Pizza,Portland
Arby's,Fast Food,Portland
Little Caesars,Pizza,Portland
Burger King,Fast Food,Portland
McDonald's,Fast Food,Portland
Sonic Drive-In,Burgers,Portland
Sol Azteca Franklin,Mexican,Portland
Brewster's Bar & Grille,New American,Portland
Subway,Sandwiches,Portland
Sol Azteca,Mexican,Portland
Domino's Pizza,Pizza,Portland
Cracker Barrel Old Country Store,Breakfast & Brunch,Portland
Waffle House - Franklin,Diners,Portland
Dairy Queen Grill & Chill,Fast Food,Portland
Denny's,Diners,Portland
Papa Johns Pizza,Pizza,Portland
GRAY'S On Main,Bars,Franklin
Red Pony,American,Franklin
Cork & Cow,Steakhouses,Franklin
55 South - Franklin,Southern,Franklin
O' Be Joyful,Burgers,Franklin
Puckett's Grocery & Restaurant,Barbeque,Franklin
Culaccino,Italian,Franklin
JJ's Wine Bar,Wine Bars,Franklin
McCreary's Irish Pub and Eatery,Irish Pub,Franklin
Serrato's Steakhouse,Steakhouses,Franklin
Franklin Chop House,New American,Franklin
Pueblo Real Mexican Restaurant - Franklin,Bars,Franklin
Mojo's Tacos,Tacos,Franklin
Mellow Mushroom Franklin,Pizza,Franklin
Quinn's Neighbourhood Pub and Eatery,Pizza,Franklin
Chrysalis,Italian,Franklin
BrickTop's,New American,Franklin
Biscuit Love - Franklin,Breakfast & Brunch,Franklin
Ruby Sunshine,Breakfast & Brunch,Franklin
Merridee's Breadbasket,Bakeries,Franklin
Ground Restaurant,Burgers,Franklin
Brixx Wood Fired Pizza + Craft Bar,Pizza,Franklin
Tupelo Honey Southern Kitchen & Bar,Southern,Franklin
Sal's Family Pizza,Pizza,Franklin
Pasta and Cream,Italian,Franklin
North Italia- Franklin,Italian,Franklin
Koi Sushi & Thai,Asian Fusion,Franklin
Zolo's Italian Restaurant,Italian,Franklin
Sperry's Restaurant,Steakhouses,Franklin
J. Alexander's,New American,Franklin
Stoney River,Steakhouses,Franklin
Franklin Mercantile Deli,Delis,Franklin
Garcia's,Mexican,Franklin
Hattie B's Hot Chicken - Franklin,Chicken Shop,Franklin
The Coffee House at Second and Bridge,Coffee & Tea,Franklin
Hogwood BBQ,Barbeque,Franklin
The Bunganut Pig Bar & Restaurant,Pubs,Franklin
Pita Way - Cool Springs,Mediterranean,Franklin
Connors Steak & Seafood,Seafood,Franklin
Big Shake's Hot Chicken & Fish,Chicken Shop,Franklin
Sakura Japanese Restaurant,Japanese,Franklin
Ice Point Cafe,Bubble Tea,Franklin
Taziki's Mediterranean Cafe - Franklin,Mediterranean,Franklin
Sopapilla's,Mexican,Franklin
Ground Restaurant - Cool Springs,American,Franklin
